ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_SC_CCS,Russia,CAPEX,USD/kW,5100,5100,4975,4850,4650,4450,4250,4050,4050,4050
COA_SC_CCS,China,CAPEX,USD/kW,3500,3500,3350,3200,3000,2800,2600,2400,2400,2400
COA_SC_CCS,India,CAPEX,USD/kW,3900,3900,3775,3650,3475,3300,3125,2950,2950,2950
COA_SC_CCS,Middle East,CAPEX,USD/kW,5100,5100,4975,4850,4650,4450,4250,4050,4050,4050
COA_SC_CCS,Africa,CAPEX,USD/kW,4500,4500,4375,4250,4075,3900,3725,3550,3550,3550
COA_SC_CCS,Brazil,CAPEX,USD/kW,5100,5100,4975,4850,4650,4450,4250,4050,4050,4050
COA_SC_CCS,Europe,OPEX,USD/kW,165,165,160,155,147.5,140,132.5,125,125,125
COA_SC_CCS,United States,OPEX,USD/kW,170,170,165,160,152.5,145,137.5,130,130,130
COA_SC_CCS,Japan,OPEX,USD/kW,175,175,172.5,170,162.5,155,147.5,140,140,140
COA_SC_CCS,Russia,OPEX,USD/kW,180,180,175,170,162.5,155,147.5,140,140,140
COA_SC_CCS,China,OPEX,USD/kW,140,140,135,130,120,110,100,90,90,90
COA_SC_CCS,India,OPEX,USD/kW,155,155,150,145,140,135,130,125,125,125
COA_SC_CCS,Middle East,OPEX,USD/kW,180,180,175,170,162.5,155,147.5,140,140,140
COA_SC_CCS,Africa,OPEX,USD/kW,175,175,170,165,157.5,150,142.5,135,135,135
COA_SC_CCS,Brazil,OPEX,USD/kW,180,180,175,170,162.5,155,147.5,140,140,140
COA_SC_CCS,Europe,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,United States,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Japan,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Russia,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,China,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,India,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Middle East,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Africa,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Brazil,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_SC_CCS,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Europe,CAPEX,USD/kW,5700,5700,5575,5450,5200,4950,4700,4450,4450,4450
COA_OXY_CCS,United States,CAPEX,USD/kW,5800,5800,5675,5550,5325,5100,4875,4650,4650,4650
COA_OXY_CCS,Japan,CAPEX,USD/kW,6100,6100,5975,5850,5625,5400,5175,4950,4950,4950
COA_OXY_CCS,Russia,CAPEX,USD/kW,5300,5300,5200,5100,4900,4700,4500,4300,4300,4300
COA_OXY_CCS,China,CAPEX,USD/kW,3500,3500,3375,3250,3075,2900,2725,2550,2550,2550
COA_OXY_CCS,India,CAPEX,USD/kW,4100,4100,4000,3900,3725,3550,3375,3200,3200,3200
COA_OXY_CCS,Middle East,CAPEX,USD/kW,5300,5300,5200,5100,4900,4700,4500,4300,4300,4300
COA_OXY_CCS,Africa,CAPEX,USD/kW,4800,4800,4700,4600,4400,4200,4000,3800,3800,3800
