Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.South,TWNZ3,New BESS_ST1,Input,100.9,-0.00,-33.99,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-33.99,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-33.99,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-33.99,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
TWN.South,TWNZ3,New BESS_ST1,Output, ,0.00,0.00,0.00,0.00,31.95,0.00,0.00,0.00,0.00,0.00,0.00,20.61,0.00,11.34,0.00,0.00,0.00,0.00,0.00,0.00,31.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.95,0.00,0.00,0.00
TWN.South,TWNZ3,New BESS_ST1,AS T1,,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92
TWN.South,TWNZ3,New BESS_ST1,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,HYD_LG,Net output,2546.1,694.35,694.35,694.35,694.35,694.35,694.35,694.35,694.35,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79,2418.79
TWN.Central,TWNZ0,HYD_LG,AS T1,,212.94,217.69,217.69,217.69,217.69,192.24,175.62,189.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,HYD_LG,AS T2,,212.94,220.66,218.99,224.76,222.94,192.24,175.62,189.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,HYD_SM,Net output,10.0,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94
TWN.Central,TWNZ0,HYD_SM,AS T1,,0.00,0.85,0.85,0.85,0.85,0.00,0.00,0.00,0.85,0.85,0.00,0.85,0.85,0.85,0.00,0.00,0.85,0.85,0.85,0.85,0.85,0.85,0.00,0.85,0.85,0.85,0.00,0.85,0.85,0.85,0.85,0.85
TWN.Central,TWNZ0,HYD_SM,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,2.34,2.34,0.00,3.20,0.00,3.22,0.00,3.22,3.22,0.00,0.00,0.00,0.00,0.00,3.74,2.89,2.89,2.89,2.89,0.00
